cell_id,state_1,state_2,time,condition,fate_label,batch,donor,replicate
control_cell_000000,-1.0116804,0.10873765,0.0,control,progenitor,batch_B,donor_2,replicate_1
control_cell_000001,-1.1490357,0.016223783,0.0,control,progenitor,batch_B,donor_1,replicate_2
control_cell_000002,-1.2374777,0.031759303,0.0,control,progenitor,batch_C,donor_3,replicate_2
control_cell_000003,-1.0061951,0.07153707,0.0,control,progenitor,batch_A,donor_2,replicate_2
control_cell_000004,-1.1490843,0.019902986,0.0,control,progenitor,batch_A,donor_4,replicate_2
control_cell_000005,-1.2365942,-0.01208415,0.0,control,progenitor,batch_C,donor_2,replicate_2
control_cell_000006,-1.2096878,-0.100025244,0.0,control,progenitor,batch_A,donor_2,replicate_2
control_cell_000007,-1.1091022,0.031301174,0.0,control,progenitor,batch_C,donor_3,replicate_1
control_cell_000008,-1.2176037,-0.08669591,0.0,control,progenitor,batch_B,donor_2,replicate_1
control_cell_000009,-1.1605783,-0.09953647,0.0,control,progenitor,batch_C,donor_3,replicate_2
control_cell_000010,-1.2002453,0.024916226,0.0,control,progenitor,batch_A,donor_2,replicate_1
control_cell_000011,-1.1821594,0.019528352,0.0,control,progenitor,batch_A,donor_3,replicate_1
control_cell_000012,-1.1281437,-0.09115432,0.0,control,progenitor,batch_B,donor_4,replicate_1
control_cell_000013,-1.1475266,-0.009408869,0.0,control,progenitor,batch_A,donor_2,replicate_1
control_cell_000014,-1.0528648,-0.21382676,0.0,control,progenitor,batch_A,donor_1,replicate_2
control_cell_000015,-1.1183252,0.124915056,0.0,control,progenitor,batch_A,donor_3,replicate_1
control_cell_000016,-1.2402225,-0.03038452,0.0,control,progenitor,batch_A,donor_4,replicate_2
control_cell_000017,-1.176101,0.114198826,0.0,control,progenitor,batch_A,donor_4,replicate_2
control_cell_000018,-1.2065811,0.07751983,0.0,control,progenitor,batch_C,donor_2,replicate_2
control_cell_000019,-1.0773119,0.002486847,0.0,control,progenitor,batch_B,donor_1,replicate_1
control_cell_000020,-1.1277139,0.0011188177,0.0,control,progenitor,batch_A,donor_1,replicate_2
control_cell_000021,-1.1230733,0.03399727,0.0,control,progenitor,batch_B,donor_3,replicate_2
control_cell_000022,-1.3049574,0.053325813,0.0,control,progenitor,batch_C,donor_2,replicate_2
control_cell_000023,-1.19679,-0.0037269816,0.0,control,progenitor,batch_A,donor_1,replicate_2
control_cell_000024,-1.0920573,0.0050401893,0.0,control,progenitor,batch_B,donor_2,replicate_2
control_cell_000025,-1.1582736,-0.0022385966,0.0,control,progenitor,batch_B,donor_3,replicate_2
control_cell_000026,-1.1319553,0.07581197,0.0,control,progenitor,batch_B,donor_2,replicate_2
control_cell_000027,-1.2388884,-0.093757726,0.0,control,progenitor,batch_A,donor_2,replicate_1
control_cell_000028,-1.216643,-0.044618312,0.0,control,progenitor,batch_A,donor_2,replicate_2
control_cell_000029,-1.1826711,0.0030864899,0.0,control,progenitor,batch_A,donor_1,replicate_2
control_cell_000030,-1.2040814,-0.06898544,0.0,control,progenitor,batch_A,donor_1,replicate_1
control_cell_000031,-1.1188247,0.008204254,0.0,control,progenitor,batch_B,donor_3,replicate_2
control_cell_000032,-1.1617954,0.12706208,0.0,control,progenitor,batch_B,donor_2,replicate_1
control_cell_000033,-1.1997766,0.16482386,0.0,control,progenitor,batch_A,donor_1,replicate_2
control_cell_000034,-1.1680346,-0.10216132,0.0,control,progenitor,batch_A,donor_3,replicate_2
control_cell_000035,-1.1444064,-0.08609962,0.0,control,progenitor,batch_A,donor_2,replicate_1
control_cell_000036,-1.2101405,0.031762663,0.0,control,progenitor,batch_A,donor_3,replicate_1
control_cell_000037,-1.0710076,0.09260062,0.0,control,progenitor,batch_A,donor_1,replicate_1
control_cell_000038,-1.0350958,0.04235307,0.0,control,progenitor,batch_B,donor_2,replicate_2
control_cell_000039,-1.0409257,-0.15046388,0.0,control,progenitor,batch_A,donor_4,replicate_1
control_cell_000040,-1.1754326,-0.06936042,0.0,control,progenitor,batch_C,donor_3,replicate_1
