cell_id,state_1,state_2,time,condition,fate_label
cell_000000,-1.0116804,0.10873765,0.0,control,progenitor
cell_000001,-1.1295829,0.10805001,0.0,control,progenitor
cell_000002,-1.1490357,0.016223783,0.0,control,progenitor
cell_000003,-1.2374777,0.031759303,0.0,control,progenitor
cell_000004,-1.1451691,-0.10421217,0.0,control,progenitor
cell_000005,-1.1540958,-0.006378365,0.0,control,progenitor
cell_000006,-1.0061951,0.07153707,0.0,control,progenitor
cell_000007,-1.1490843,0.019902986,0.0,control,progenitor
cell_000008,-1.146463,-0.016233118,0.0,control,progenitor
cell_000009,-1.2365942,-0.01208415,0.0,control,progenitor
cell_000010,-1.2096878,-0.100025244,0.0,control,progenitor
cell_000011,-1.1091022,0.031301174,0.0,control,progenitor
cell_000012,-1.2929366,-0.009814771,0.0,control,progenitor
cell_000013,-1.0703439,0.0847379,0.0,control,progenitor
cell_000014,-1.0679331,0.0031130565,0.0,control,progenitor
cell_000015,-1.2176037,-0.08669591,0.0,control,progenitor
cell_000016,-1.1224316,0.030342402,0.0,control,progenitor
cell_000017,-1.0470135,0.087998375,0.0,control,progenitor
cell_000018,-1.1605783,-0.09953647,0.0,control,progenitor
cell_000019,-1.1755285,0.017378496,0.0,control,progenitor
cell_000020,-1.1661667,-0.046231527,0.0,control,progenitor
cell_000021,-1.1297692,-0.04031662,0.0,control,progenitor
cell_000022,-1.2002453,0.024916226,0.0,control,progenitor
cell_000023,-1.1821594,0.019528352,0.0,control,progenitor
cell_000024,-1.1281437,-0.09115432,0.0,control,progenitor
cell_000025,-1.1884993,0.11502215,0.0,control,progenitor
cell_000026,-1.2429664,-0.16933236,0.0,control,progenitor
cell_000027,-1.2989476,0.0023287956,0.0,control,progenitor
cell_000028,-1.1475266,-0.009408869,0.0,control,progenitor
cell_000029,-1.0528648,-0.21382676,0.0,control,progenitor
cell_000030,-1.1183252,0.124915056,0.0,control,progenitor
cell_000031,-1.2402225,-0.03038452,0.0,control,progenitor
cell_000032,-1.2102313,-0.07154769,0.0,control,progenitor
cell_000033,-1.176101,0.114198826,0.0,control,progenitor
cell_000034,-1.0030091,-0.026875138,0.0,control,progenitor
cell_000035,-0.9975952,0.002846118,0.0,control,progenitor
cell_000036,-1.0097047,-0.007463892,0.0,control,progenitor
cell_000037,-1.1395154,0.029237958,0.0,control,progenitor
cell_000038,-0.8956917,0.068102844,0.0,control,progenitor
cell_000039,-1.2065811,0.07751983,0.0,control,progenitor
cell_000040,-1.1789466,-0.039180014,0.0,control,progenitor
cell_000041,-1.0773119,0.002486847,0.0,control,progenitor
cell_000042,-1.1277139,0.0011188177,0.0,control,progenitor
cell_000043,-1.1230733,0.03399727,0.0,control,progenitor
cell_000044,-1.3049574,0.053325813,0.0,control,progenitor
cell_000045,-1.2285615,-0.11538393,0.0,control,progenitor
cell_000046,-1.1546729,0.0067184805,0.0,control,progenitor
cell_000047,-1.2054805,0.06648255,0.0,control,progenitor
cell_000048,-1.257374,-0.0325555,0.0,control,progenitor
cell_000049,-1.19679,-0.0037269816,0.0,control,progenitor
cell_000050,-1.1276909,-0.080631435,0.0,control,progenitor
cell_000051,-1.0920573,0.0050401893,0.0,control,progenitor
cell_000052,-1.3013557,-0.15668732,0.0,control,progenitor
cell_000053,-1.1509856,-0.017677385,0.0,control,progenitor
cell_000054,-1.1582736,-0.0022385966,0.0,control,progenitor
cell_000055,-1.1319553,0.07581197,0.0,control,progenitor
cell_000056,-1.2388884,-0.093757726,0.0,control,progenitor
cell_000057,-1.2374659,0.023113333,0.0,control,progenitor
cell_000058,-1.0504042,-0.034507155,0.0,control,progenitor
cell_000059,-1.350136,-0.13631943,0.0,control,progenitor
cell_000060,-1.216643,-0.044618312,0.0,control,progenitor
cell_000061,-1.1826711,0.0030864899,0.0,control,progenitor
cell_000062,-1.1749398,0.08394717,0.0,control,progenitor
cell_000063,-1.2040814,-0.06898544,0.0,control,progenitor
