pair_id,source_idx,target_idx,source_global_node,target_global_node,source_timepoint,target_timepoint,euclidean_distance_pc20,graph_path_num_nodes,graph_path_length_pc20,straight_path_length_pc20,path_length_ratio,connected_pair,used_fallback,pair_selection_mode,main_figure_pair_selection_mode,no_metric_based_pair_selection,state_space,visualization_space,selected_k_graph,graph_density,graph_components_by_k,endpoint_connected_fraction_by_k,interpretation,selected_for_main_figure,main_figure_selected_rank
0,2743,2206,5124,8750,1,2,4.025615215301514,5,9.880355834960938,4.025615215301514,2.4543716442161028,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",True,0.0
1,2521,2084,4902,8628,1,2,4.151879787445068,5,10.275678634643555,4.151879787445068,2.474946087243743,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
2,38,1619,2419,8163,1,2,3.813876152038574,5,9.812105178833008,3.813876152038574,2.572738281915182,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
3,394,1599,2775,8143,1,2,3.812289237976074,5,9.456307411193848,3.812289237976074,2.480480053033477,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
4,4011,716,6392,7260,1,2,3.5917975902557373,4,7.7937116622924805,3.5917975902557373,2.169863826245723,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
5,2706,215,5087,6759,1,2,4.098915100097656,5,9.286365509033203,4.098915100097656,2.265566688320028,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
6,1112,1503,3493,8047,1,2,4.047570705413818,4,6.783927917480469,4.047570705413818,1.6760492678748373,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
7,2654,1976,5035,8520,1,2,3.4488420486450195,3,5.115318298339844,3.4488420486450195,1.4831987740202683,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
8,527,1559,2908,8103,1,2,5.300802707672119,8,17.183238983154297,5.300802707672119,3.241629604188839,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
9,1161,716,3542,7260,1,2,3.449244737625122,4,6.684921741485596,3.449244737625122,1.9380827543389414,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
10,3175,908,5556,7452,1,2,2.6827304363250732,3,3.908351421356201,2.6827304363250732,1.4568558094528645,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
11,950,226,3331,6770,1,2,3.479240655899048,3,4.871809005737305,3.479240655899048,1.4002506545435882,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
12,2318,10,4699,6554,1,2,4.106523513793945,3,5.499528884887695,4.106523513793945,1.339217678022444,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
13,404,266,2785,6810,1,2,4.460710048675537,4,7.364182472229004,4.460710048675537,1.6508991599701843,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
14,1448,361,3829,6905,1,2,4.268261432647705,4,7.52187442779541,4.268261432647705,1.7622806256104633,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
15,255,1275,2636,7819,1,2,4.2167510986328125,4,6.872615814208984,4.2167510986328125,1.6298367281951445,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
16,2827,2281,5208,8825,1,2,4.723860263824463,8,17.712604522705078,4.723860263824463,3.749603826842426,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
17,2286,1809,4667,8353,1,2,4.606828212738037,6,10.871834754943848,4.606828212738037,2.3599392581826373,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
18,422,236,2803,6780,1,2,3.962336540222168,6,12.205103874206543,3.962336540222168,3.0802794639756175,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
19,4084,254,6465,6798,1,2,5.44145393371582,7,16.194046020507812,5.44145393371582,2.9760512939690256,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
20,1303,2146,3684,8690,1,2,5.164036750793457,7,15.416481971740723,5.164036750793457,2.985354813629468,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
21,1673,1540,4054,8084,1,2,3.2089972496032715,5,7.796466827392578,3.2089972496032715,2.429564820710412,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
22,3444,2528,5825,9072,1,2,4.281630039215088,4,8.327326774597168,4.281630039215088,1.9448963825290568,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
23,2304,565,4685,7109,1,2,3.5713603496551514,5,10.984053611755371,3.5713603496551514,3.07559376158051,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
24,3218,2460,5599,9004,1,2,3.458209991455078,4,7.148486137390137,3.458209991455078,2.067105859694291,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
25,4080,2926,6461,9470,1,2,5.646030426025391,8,18.324926376342773,5.646030426025391,3.2456301141903134,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
26,2328,779,4709,7323,1,2,4.385286331176758,4,7.640464782714844,4.385286331176758,1.7422955323112468,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
27,766,1860,3147,8404,1,2,4.194657802581787,5,10.925224304199219,4.194657802581787,2.6045567525138305,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
28,4148,1347,6529,7891,1,2,3.446784257888794,4,7.358373165130615,3.446784257888794,2.1348516804581577,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
29,2540,315,4921,6859,1,2,6.268477916717529,8,18.92708969116211,6.268477916717529,3.019407572719539,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
30,187,684,2568,7228,1,2,4.641599655151367,7,13.182848930358887,4.641599655151367,2.8401520832862484,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
31,2085,961,4466,7505,1,2,4.6309380531311035,6,12.033737182617188,4.6309380531311035,2.5985528298053673,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
