pair_id,source_idx,target_idx,source_graph_node,target_graph_node,euclidean_distance,graph_path_num_nodes,graph_path_length,straight_path_length,path_length_ratio,used_fallback,straight_mid_knn_radius,graph_mid_knn_radius,straight_minus_graph_mid_knn_radius,straight_mid_density_percentile,graph_mid_density_percentile,straight_minus_graph_density_percentile,k_graph,n_components,n_edges_undirected,graph_density,largest_component_fraction,graph_k_grid_tried,graph_components_by_k,graph_selection_note,candidate_set_size,selected_for_figure,selected_rank,selected_reason
0,297,693,1897,3893,1.4450318813323975,14,2.090914011001587,1.4450318813323975,1.446967390832686,False,0.017198504150390516,0.2968349226253615,-0.27963641847497095,18.224999999999998,100.0,-81.775,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1,545,420,2145,3620,1.3905233144760132,12,1.9805934429168701,1.3905233144760132,1.424351121838767,False,0.025598752595471324,0.31425582022415655,-0.2886570676286852,58.975,100.0,-41.025,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
2,414,655,2014,3855,1.2241579294204712,10,1.9738426208496094,1.2241579294204712,1.6124084755829229,False,0.019556539804840106,0.32351602371629384,-0.3039594839114537,33.725,100.0,-66.275,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
3,334,547,1934,3747,1.4665930271148682,11,2.001723051071167,1.4665930271148682,1.3648797001367345,False,0.02061440211346349,0.26641590887865707,-0.24580150676519358,39.35,100.0,-60.65,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
4,557,37,2157,3237,1.5208510160446167,15,2.091162919998169,1.5208510160446167,1.3749952480137089,False,0.01720954830600161,0.32083484647712696,-0.3036252981711253,18.275,100.0,-81.725,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
5,100,229,1700,3429,1.5670868158340454,6,1.5715723037719727,1.5670868158340454,1.0028623097920328,False,0.07649301444885695,0.10410461080126467,-0.027611596352407716,95.625,98.32499999999999,-2.6999999999999886,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
6,559,703,2159,3903,1.467303991317749,11,1.998720645904541,1.467303991317749,1.3621721590967255,False,0.01802400893512816,0.2927862866598846,-0.2747622777247564,23.65,100.0,-76.35,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
7,685,564,2285,3764,1.5739628076553345,11,2.0965311527252197,1.5739628076553345,1.332008064312735,False,0.024062512752644337,0.3271623160480714,-0.3030998032954271,54.37499999999999,100.0,-45.62500000000001,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
8,332,382,1932,3582,1.5051953792572021,15,2.0990166664123535,1.5051953792572021,1.394514423402094,False,0.019590506286821924,0.28330930138766997,-0.26371879510084806,33.975,100.0,-66.025,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
9,0,241,1600,3441,1.515792965888977,14,2.089245557785034,1.515792965888977,1.3783185466623014,False,0.01713137521793868,0.265692407562242,-0.24856103234430332,17.8,100.0,-82.2,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
10,105,214,1705,3414,1.3873791694641113,6,1.388411283493042,1.3873791694641113,1.0007439307520591,False,0.07261331450936011,0.07292040519642447,-0.0003070906870643597,94.85,94.89999999999999,-0.04999999999999716,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
11,669,739,2269,3939,1.3782360553741455,6,1.384557843208313,1.3782360553741455,1.0045868687076622,False,0.05521196311330087,0.04806565669726549,0.007146306416035385,89.67500000000001,86.47500000000001,3.200000000000003,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
12,406,622,2006,3822,1.424831748008728,14,2.0719428062438965,1.424831748008728,1.4541666474933184,False,0.015135533169744753,0.3118572363096478,-0.29672170313990304,8.200000000000001,100.0,-91.8,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
13,531,673,2131,3873,1.3321243524551392,13,2.0498037338256836,1.3321243524551392,1.5387480380850653,False,0.030862513411915104,0.26812362357207375,-0.23726111016015866,70.325,100.0,-29.674999999999997,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
14,550,640,2150,3840,1.5096970796585083,16,2.268151044845581,1.5096970796585083,1.5023881780036523,False,0.03145635980957662,0.26032986686832865,-0.22887350705875203,71.275,100.0,-28.724999999999994,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
15,219,121,1819,3321,1.500776767730713,15,2.159041166305542,1.500776767730713,1.4386157973181943,False,0.019607915586969806,0.26676272320832345,-0.24715480762135364,34.050000000000004,100.0,-65.94999999999999,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
16,665,686,2265,3886,1.2877402305603027,9,1.937046766281128,1.2877402305603027,1.504221674769226,False,0.015695163640722185,0.31859180911271706,-0.30289664547199485,10.65,100.0,-89.35,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
17,49,796,1649,3996,1.8394259214401245,18,2.5151824951171875,1.8394259214401245,1.3673736277174997,False,0.03642419831648262,0.29524960840311926,-0.2588254100866366,77.95,100.0,-22.049999999999997,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
