setting,seed,eval_time,state_bin,n_eval_cells,mean_g,median_g,std_g,frac_positive
raw_observed_depth,11,0.0,0,0,,,,
raw_observed_depth,11,0.0,1,6,0.6810941696166992,0.7198474407196045,0.27895689010620117,1.0
raw_observed_depth,11,0.0,2,2,0.965378999710083,0.965378999710083,0.12712684273719788,1.0
raw_observed_depth,11,0.0,3,35,0.7004024982452393,0.6541568636894226,0.22764714062213898,1.0
raw_observed_depth,11,0.0,4,0,,,,
raw_observed_depth,11,0.0,5,322,0.13559511303901672,0.10558852553367615,0.13382209837436676,0.8757763975155279
raw_observed_depth,11,0.0,6,435,0.6157079339027405,0.6193857192993164,0.2074047327041626,1.0
raw_observed_depth,11,0.0,7,0,,,,
raw_observed_depth,11,1.0,0,13,0.3194902241230011,0.3302936255931854,0.09691158682107925,1.0
raw_observed_depth,11,1.0,1,152,0.24445483088493347,0.24886217713356018,0.19066819548606873,0.9013157894736842
raw_observed_depth,11,1.0,2,203,0.28445616364479065,0.2842884063720703,0.1149274930357933,0.9704433497536946
raw_observed_depth,11,1.0,3,109,0.08689719438552856,0.08224071562290192,0.19021408259868622,0.7339449541284404
raw_observed_depth,11,1.0,4,7,0.8832980394363403,0.8818903565406799,0.184574156999588,1.0
raw_observed_depth,11,1.0,5,6,-0.17166604101657867,-0.18605580925941467,0.08726062625646591,0.0
raw_observed_depth,11,1.0,6,309,0.19563066959381104,0.20377013087272644,0.10811388492584229,0.9449838187702265
raw_observed_depth,11,1.0,7,1,0.6913393139839172,0.6913393139839172,0.0,1.0
raw_observed_depth,11,2.0,0,171,-0.036559734493494034,-0.04547367990016937,0.1363285779953003,0.3157894736842105
raw_observed_depth,11,2.0,1,334,-0.060912124812603,-0.07787670940160751,0.09690094739198685,0.20059880239520958
raw_observed_depth,11,2.0,2,128,-0.14538931846618652,-0.15526828169822693,0.07998161017894745,0.046875
raw_observed_depth,11,2.0,3,27,-0.050099752843379974,-0.04472699761390686,0.1894339770078659,0.37037037037037035
raw_observed_depth,11,2.0,4,116,0.32671692967414856,0.3206199109554291,0.12739907205104828,1.0
raw_observed_depth,11,2.0,5,0,,,,
raw_observed_depth,11,2.0,6,8,-0.1538390964269638,-0.15919940173625946,0.06452001631259918,0.0
raw_observed_depth,11,2.0,7,16,-0.01964910887181759,-0.0412055104970932,0.05764273181557655,0.375
raw_observed_depth,11,3.0,0,132,0.13686883449554443,0.09795503318309784,0.21502827107906342,0.7121212121212122
raw_observed_depth,11,3.0,1,359,-0.07296796143054962,-0.07909004390239716,0.12035934627056122,0.2785515320334262
raw_observed_depth,11,3.0,2,72,-0.10613062977790833,-0.15519726276397705,0.12934720516204834,0.20833333333333334
raw_observed_depth,11,3.0,3,39,0.0559823252260685,0.03367982804775238,0.14959967136383057,0.5641025641025641
raw_observed_depth,11,3.0,4,141,-0.10217641294002533,-0.10340382158756256,0.06926161050796509,0.07092198581560284
raw_observed_depth,11,3.0,5,0,,,,
raw_observed_depth,11,3.0,6,0,,,,
raw_observed_depth,11,3.0,7,57,0.10506749898195267,0.0925406962633133,0.1345285326242447,0.7894736842105263
raw_observed_depth,11,4.0,0,207,0.3440259099006653,0.31366831064224243,0.3868440091609955,0.8260869565217391
raw_observed_depth,11,4.0,1,41,-0.41112709045410156,-0.4768432378768921,0.22203212976455688,0.04878048780487805
raw_observed_depth,11,4.0,2,28,-0.27427688241004944,-0.2816190719604492,0.20284990966320038,0.07142857142857142
raw_observed_depth,11,4.0,3,20,-0.3740261495113373,-0.47016093134880066,0.26700690388679504,0.1
raw_observed_depth,11,4.0,4,32,-0.5055742263793945,-0.5547074675559998,0.24735388159751892,0.03125
raw_observed_depth,11,4.0,5,0,,,,
raw_observed_depth,11,4.0,6,0,,,,
raw_observed_depth,11,4.0,7,472,0.021967317909002304,0.03126462921500206,0.2666294574737549,0.559322033898305
equal_depth,42,0.0,0,0,,,,
equal_depth,42,0.0,1,6,0.13959555327892303,0.1703626811504364,0.28224900364875793,0.6666666666666666
equal_depth,42,0.0,2,2,0.31242913007736206,0.31242913007736206,0.11359508335590363,1.0
equal_depth,42,0.0,3,35,0.07134851068258286,0.023828528821468353,0.20206362009048462,0.5142857142857142
equal_depth,42,0.0,4,0,,,,
equal_depth,42,0.0,5,322,-0.39106130599975586,-0.42040932178497314,0.11722150444984436,0.009316770186335404
equal_depth,42,0.0,6,435,0.0017267977818846703,0.01125035434961319,0.1744546741247177,0.5195402298850574
equal_depth,42,0.0,7,0,,,,
