split_name,compound,dose,method,n_target_cells,training_steps,program_readout_mmd,program_readout_sliced_w2,program_readout_mean_abs_error,program_readout_centroid_l2,program_readout_mean_mse
Split B held-out highest dose,AG-14361,10000.0,vehicle_as_prediction,233,6000,0.02837894966325749,0.40376469132666365,0.20739902319462267,1.4358585488786944,0.06872299241293432
Split B held-out highest dose,AG-14361,10000.0,mean_shift,233,6000,0.018591511143710382,0.38453872078648244,0.16471223865602358,1.1247112265131343,0.04216584476815596
Split B held-out highest dose,AG-14361,10000.0,M1_unconditional,233,6000,0.03285507397342302,0.4711042628000531,0.1956741305372311,1.4006830540746598,0.06539710059906388
Split B held-out highest dose,AG-14361,10000.0,M3_no_chemistry,233,6000,0.020849507792372046,0.43218214450878,0.18445480778292378,1.3808610903152623,0.06355924502488851
Split B held-out highest dose,AG-14361,10000.0,M4_chemistry_aware,233,6000,0.0274905750326504,0.4445881643502078,0.19785297982224126,1.3129053076281616,0.05745734489327324
Split B held-out highest dose,AG-14361,10000.0,M2_per_compound,233,6000,0.02302770410348265,0.4422611082675088,0.18946039137677279,1.267029389385581,0.053512115785559956
Split B held-out highest dose,AG-490 (Tyrphostin B42),10000.0,vehicle_as_prediction,212,6000,0.011075505031807986,0.3150696801490907,0.1100342005905094,0.7373706927408163,0.018123851283769046
Split B held-out highest dose,AG-490 (Tyrphostin B42),10000.0,mean_shift,212,6000,0.01595222188016554,0.3873758631396029,0.11105171968871368,0.7007848182759743,0.016369978717536347
Split B held-out highest dose,AG-490 (Tyrphostin B42),10000.0,M1_unconditional,212,6000,0.01287140506647333,0.2737384153210063,0.09977469824173016,0.6700881999500997,0.014967273190412163
Split B held-out highest dose,AG-490 (Tyrphostin B42),10000.0,M3_no_chemistry,212,6000,0.011792348519528928,0.2586301140355571,0.07978529722155753,0.5539302749924138,0.010227958318439036
Split B held-out highest dose,AG-490 (Tyrphostin B42),10000.0,M4_chemistry_aware,212,6000,0.015679847241342415,0.28336532707487694,0.09900347548527115,0.7700138178736758,0.019764042657213148
Split B held-out highest dose,AG-490 (Tyrphostin B42),10000.0,M2_per_compound,212,6000,0.014892531425790834,0.28077051673248765,0.10767016340737055,0.6986970168145419,0.016272584043518012
Split B held-out highest dose,Alisertib (MLN8237),10000.0,vehicle_as_prediction,250,6000,0.038881193745732956,0.6101601065961956,0.30750557974576365,2.0615467317161875,0.14166583090165652
Split B held-out highest dose,Alisertib (MLN8237),10000.0,mean_shift,250,6000,0.07472649292105182,0.6581478107010009,0.23099327986924326,1.7124890118693727,0.09775395385911136
Split B held-out highest dose,Alisertib (MLN8237),10000.0,M1_unconditional,250,6000,0.06653737346455846,0.757874788539452,0.25926278346306064,1.8630995201612706,0.11570466073417189
Split B held-out highest dose,Alisertib (MLN8237),10000.0,M3_no_chemistry,250,6000,0.01987137376746062,0.5328688631991547,0.23720337910019829,1.6260302916822562,0.08813248364894277
Split B held-out highest dose,Alisertib (MLN8237),10000.0,M4_chemistry_aware,250,6000,0.04299121692097574,0.589098047646522,0.3321834604343186,2.3186696368241155,0.17920762949100247
Split B held-out highest dose,Alisertib (MLN8237),10000.0,M2_per_compound,250,6000,0.044822641889118664,0.5810292898647987,0.31020964403050205,2.1486522077445236,0.15389021032818057
Split B held-out highest dose,Altretamine,10000.0,vehicle_as_prediction,243,6000,0.013164923857996724,0.27354742506184176,0.108571397485261,0.7588060792146853,0.01919288886177211
Split B held-out highest dose,Altretamine,10000.0,mean_shift,243,6000,0.009281349901227198,0.2809474657134201,0.06739128423969368,0.4737380655475333,0.007480925158290632
Split B held-out highest dose,Altretamine,10000.0,M1_unconditional,243,6000,0.01293372958991812,0.28206285173695717,0.09618885145583815,0.6469089853517779,0.01394970784429556
Split B held-out highest dose,Altretamine,10000.0,M3_no_chemistry,243,6000,0.009610633101439836,0.27427609660067753,0.08736355649880664,0.5826352559827344,0.01131546138380221
Split B held-out highest dose,Altretamine,10000.0,M4_chemistry_aware,243,6000,0.02346632663214654,0.291441526066095,0.13232832236660372,0.9094161643288463,0.027567925331419708
Split B held-out highest dose,Altretamine,10000.0,M2_per_compound,243,6000,0.013626238125484247,0.3081453282559054,0.08838591122850795,0.6376663984331252,0.013553947856355773
Split B held-out highest dose,Aminoglutethimide,10000.0,vehicle_as_prediction,225,6000,0.012106265793439541,0.29544988579338793,0.111006773651937,0.7787649998546207,0.020215830833285577
Split B held-out highest dose,Aminoglutethimide,10000.0,mean_shift,225,6000,0.01857595295845793,0.30183688369532086,0.1128276116939599,0.730258841960396,0.017775932542044622
Split B held-out highest dose,Aminoglutethimide,10000.0,M1_unconditional,225,6000,0.009700146078102989,0.2521689338715023,0.09738253551333252,0.6247985235277569,0.013012439833415506
Split B held-out highest dose,Aminoglutethimide,10000.0,M3_no_chemistry,225,6000,0.008639628588465786,0.23363535117392142,0.08247976700365986,0.5352103677984674,0.009548337926632362
Split B held-out highest dose,Aminoglutethimide,10000.0,M4_chemistry_aware,225,6000,0.01717997187557785,0.27473102230626295,0.1112643445424797,0.8177857745422092,0.022292452434786704
Split B held-out highest dose,Aminoglutethimide,10000.0,M2_per_compound,225,6000,0.027797953778459727,0.31494274967687,0.16660180917948206,1.1215426508691908,0.04192859725728972
Split B held-out highest dose,Amisulpride,10000.0,vehicle_as_prediction,229,6000,0.013837661361349118,0.3129744637966626,0.12108801469336275,0.8365543573617615,0.02332743976069833
Split B held-out highest dose,Amisulpride,10000.0,mean_shift,229,6000,0.011847083236163125,0.28677815273572593,0.09564006221387465,0.6211035827575754,0.012858988683809879
Split B held-out highest dose,Amisulpride,10000.0,M1_unconditional,229,6000,0.01499816037449564,0.3483328891174457,0.1186757382360757,0.8098040483831132,0.021859419892589316
Split B held-out highest dose,Amisulpride,10000.0,M3_no_chemistry,229,6000,0.01020588063096961,0.30384218991257866,0.101196513404967,0.662280612867653,0.014620520339345135
Split B held-out highest dose,Amisulpride,10000.0,M4_chemistry_aware,229,6000,0.020339479633212365,0.3460800905733661,0.09297691392301792,0.6972850353554428,0.016206880684354708
Split B held-out highest dose,Amisulpride,10000.0,M2_per_compound,229,6000,0.025631362521563616,0.36228751054596325,0.13922298985718629,0.965385092517486,0.031065612561833166
Split B held-out highest dose,Andarine,10000.0,vehicle_as_prediction,250,6000,0.012276987182424204,0.3409400880348603,0.12533531238649653,0.889562964969017,0.026377408954815613
Split B held-out highest dose,Andarine,10000.0,mean_shift,250,6000,0.011721101946126189,0.3369916783956774,0.10012559207891569,0.7130120364232903,0.016946205469482913
Split B held-out highest dose,Andarine,10000.0,M1_unconditional,250,6000,0.010927818697594405,0.41869064788884053,0.10214926621829619,0.6739995138329875,0.015142511488236782
Split B held-out highest dose,Andarine,10000.0,M3_no_chemistry,250,6000,0.010998432117201418,0.3832117828197175,0.12038330267551732,0.7635361748826552,0.01943291634514789
Split B held-out highest dose,Andarine,10000.0,M4_chemistry_aware,250,6000,0.02222924430404949,0.4211830965141324,0.15066222879083738,1.0435449984285938,0.03629953879151112
Split B held-out highest dose,Andarine,10000.0,M2_per_compound,250,6000,0.012764795747612134,0.43133131312094086,0.10783420964539585,0.7914985692721281,0.020882332838660863
Split B held-out highest dose,Azacitidine,10000.0,vehicle_as_prediction,250,6000,0.04549037645585341,0.4257350564010478,0.23298402635067855,1.6693872710266184,0.09289512868885667
Split B held-out highest dose,Azacitidine,10000.0,mean_shift,250,6000,0.03941299407147991,0.41244047169194864,0.24845000316999502,1.7161572641419367,0.09817319184223791
Split B held-out highest dose,Azacitidine,10000.0,M1_unconditional,250,6000,0.04460927075037979,0.44709222553567873,0.2354116703763061,1.581619430690286,0.0833840007845688
Split B held-out highest dose,Azacitidine,10000.0,M3_no_chemistry,250,6000,0.032908065535100284,0.4086694230546535,0.24716239786176786,1.6909067660217358,0.09530552304593616
Split B held-out highest dose,Azacitidine,10000.0,M4_chemistry_aware,250,6000,0.037201071129529084,0.40529999157542057,0.2543277761672061,1.6199832429616536,0.08747819024921855
Split B held-out highest dose,Azacitidine,10000.0,M2_per_compound,250,6000,0.037849536258867444,0.4260928527720933,0.30004645349589026,1.801711669911427,0.1082054980498341
Split C held-out compound,Alisertib (MLN8237),10.0,vehicle_as_prediction,250,6000,0.03108542889254029,0.5264613812702922,0.23882029691625403,1.6442594586858268,0.09011963891592695
Split C held-out compound,Alisertib (MLN8237),10.0,mean_shift,250,6000,0.034110684963063465,0.5399536103026611,0.21611720592563893,1.6606671790445522,0.09192718265185967
Split C held-out compound,Alisertib (MLN8237),10.0,nearest_chemistry,250,6000,0.053037713128937125,0.6001629862667859,0.22428677941996142,1.8294699968981292,0.11156534898501468
Split C held-out compound,Alisertib (MLN8237),10.0,M1_unconditional,250,6000,0.0594597855884792,0.7435526676744698,0.25160548526678467,1.9711030521411799,0.12950824140534248
Split C held-out compound,Alisertib (MLN8237),10.0,M3_no_chemistry,250,6000,0.03339960489590488,0.6725969090403422,0.24018830707974653,1.807280182378374,0.10887538858725361
Split C held-out compound,Alisertib (MLN8237),10.0,M4_chemistry_aware,250,6000,0.05607975447855296,0.6069334827647361,0.36135969262009404,2.4610729581314352,0.20189600350819378
Split C held-out compound,Alisertib (MLN8237),100.0,vehicle_as_prediction,250,6000,0.07380529479922593,0.8736642806343922,0.42306054579167107,2.799911143546676,0.2613167470585619
Split C held-out compound,Alisertib (MLN8237),100.0,mean_shift,250,6000,0.10895518389720427,1.0064240662927253,0.412357210533477,3.0220642529386232,0.304429078296316
Split C held-out compound,Alisertib (MLN8237),100.0,nearest_chemistry,250,6000,0.10974245998599785,0.9685481227831164,0.4331018174560595,3.0978939221542174,0.31989822509733473
Split C held-out compound,Alisertib (MLN8237),100.0,M1_unconditional,250,6000,0.1474948781610108,1.1889133903009999,0.4633959153212927,3.3234791415218425,0.36818378680435876
Split C held-out compound,Alisertib (MLN8237),100.0,M3_no_chemistry,250,6000,0.1191433113281517,1.1358997405107785,0.44321859926426266,3.253801478848939,0.3529074687919848
Split C held-out compound,Alisertib (MLN8237),100.0,M4_chemistry_aware,250,6000,0.07417571132275258,0.9440179827633938,0.5912912606964519,3.9181739259038686,0.5117362304544311
Split C held-out compound,Alisertib (MLN8237),1000.0,vehicle_as_prediction,250,6000,0.09424786877064484,1.0996600181876655,0.37101633392300476,2.816864613381219,0.2644908750039775
Split C held-out compound,Alisertib (MLN8237),1000.0,mean_shift,250,6000,0.1007111788765026,1.0775092337800216,0.40498601055997807,3.09339783197437,0.3189703382287911
Split C held-out compound,Alisertib (MLN8237),1000.0,nearest_chemistry,250,6000,0.10694118820162024,1.08715059137287,0.39909668716640445,3.2665820578039586,0.35568527801222477
Split C held-out compound,Alisertib (MLN8237),1000.0,M1_unconditional,250,6000,0.14448820501703508,1.3214633662664268,0.41763382321917847,3.193543062264277,0.33995724301787644
Split C held-out compound,Alisertib (MLN8237),1000.0,M3_no_chemistry,250,6000,0.10433171876452707,1.2483022211789467,0.4053087249947286,3.167238728918047,0.3343800388652801
Split C held-out compound,Alisertib (MLN8237),1000.0,M4_chemistry_aware,250,6000,0.05340917016381019,0.9634315520360144,0.5035639450942981,3.5393589866688404,0.4175687345504493
Split C held-out compound,Alisertib (MLN8237),10000.0,vehicle_as_prediction,250,6000,0.054970180091712506,0.6392700393529775,0.2875658783356873,2.045149255569775,0.13942118258525352
Split C held-out compound,Alisertib (MLN8237),10000.0,mean_shift,250,6000,0.0669702705079871,0.6727771241137062,0.3289471711718244,2.2474562957691657,0.16836866004641532
Split C held-out compound,Alisertib (MLN8237),10000.0,nearest_chemistry,250,6000,0.07712954337102951,0.6743956239094536,0.34994875031502454,2.5658337158500952,0.21945008857977027
Split C held-out compound,Alisertib (MLN8237),10000.0,M1_unconditional,250,6000,0.08327834056436034,0.8241581763855277,0.3070733412202836,2.1434383832880566,0.15314427009841725
Split C held-out compound,Alisertib (MLN8237),10000.0,M3_no_chemistry,250,6000,0.055373289575268436,0.755480677105661,0.3099142215611801,2.2153844882163947,0.1635976143543272
Split C held-out compound,Alisertib (MLN8237),10000.0,M4_chemistry_aware,250,6000,0.047590126818103484,0.6293750763913931,0.3673117789555108,2.7339212220561087,0.2491441749469588
