step,train_loss_20d,val_mse_20d_fixed_t_grid,wall_time_sec,sec_per_step_since_last_log,batch_size,x_dim,hidden_dim,hidden_layers,n_parameters,device
1,12.801839828491211,11.54058583577474,0.15312958881258965,0.15312958881258965,256,20,256,4,208148,cuda
100,6.530109882354736,6.431705474853516,0.32120203599333763,0.001697701486674222,256,20,256,4,208148,cuda
200,5.763652801513672,5.762890815734863,0.487776443362236,0.001665744073688984,256,20,256,4,208148,cuda
300,5.22382926940918,5.470376968383789,0.6510281208902597,0.0016325167752802372,256,20,256,4,208148,cuda
400,5.227436065673828,5.215883572896321,0.8155243583023548,0.0016449623741209506,256,20,256,4,208148,cuda
500,4.7336554527282715,5.140053749084473,0.9547298606485128,0.0013920550234615802,256,20,256,4,208148,cuda
600,4.8644118309021,4.983127276102702,1.0910540241748095,0.0013632416352629662,256,20,256,4,208148,cuda
700,4.771412372589111,5.023550192515056,1.2284196484833956,0.0013736562430858611,256,20,256,4,208148,cuda
800,4.325889587402344,5.015093167622884,1.3662050124257803,0.0013778536394238473,256,20,256,4,208148,cuda
900,4.082222938537598,5.144524097442627,1.5061961896717548,0.0013999117724597455,256,20,256,4,208148,cuda
1000,4.117448806762695,4.805050532023112,1.6427010670304298,0.00136504877358675,256,20,256,4,208148,cuda
1100,4.401421546936035,4.986843109130859,1.7789371609687805,0.0013623609393835067,256,20,256,4,208148,cuda
1200,4.043169021606445,4.992671012878418,1.915132312104106,0.0013619515113532544,256,20,256,4,208148,cuda
1300,3.9652445316314697,4.988547166188558,2.05138517357409,0.0013625286146998405,256,20,256,4,208148,cuda
1400,3.879024028778076,5.006305853525798,2.1873795222491026,0.0013599434867501258,256,20,256,4,208148,cuda
1500,4.1928863525390625,5.083601633707683,2.323738221079111,0.001363586988300085,256,20,256,4,208148,cuda
