experiment,seed,variant,variant_family,target,training_steps_total,sampling,pairs,pair_weights,mmd_rbf,sliced_w2,centroid_l2
EB Section 5.1 main suite,42,pairwise_local_bridges_6000,pairwise,hidden_t2,6000,local_pairwise,0-1;1-3;3-4,,0.08073851501611895,0.40271152643159214,1.1153113842010498
EB Section 5.1 main suite,42,pairwise_local_bridges_6000,pairwise,seen_t4,6000,local_pairwise,0-1;1-3;3-4,,0.0071988745837745505,0.2148153915499051,0.6789746880531311
EB Section 5.1 main suite,42,shared_adjacent_only_6000,shared_adjacent,hidden_t2,6000,uniform_adjacent,0-1;1-3;3-4,uniform,0.059405888323390776,0.3768720521898351,1.1577627658843994
EB Section 5.1 main suite,42,shared_adjacent_only_6000,shared_adjacent,seen_t4,6000,uniform_adjacent,0-1;1-3;3-4,uniform,0.00824121530653854,0.1887409959761326,0.5718234777450562
EB Section 5.1 main suite,42,shared_skip_uniform_6000,shared_skip,hidden_t2,6000,uniform_adjacent_skip,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.06624146238152095,0.3833166288185163,1.223947525024414
EB Section 5.1 main suite,42,shared_skip_uniform_6000,shared_skip,seen_t4,6000,uniform_adjacent_skip,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.007471552948396021,0.20558760433799103,0.663953959941864
EB Section 5.1 main suite,42,shared_skip_adj2_skip1_9000,shared_skip,hidden_t2,9000,adjacent_total_2_3_skip_total_1_3,0-1;1-3;3-4;0-3;1-4;0-4,"0.222222,0.222222,0.222222,0.111111,0.111111,0.111111",0.0632938199046515,0.37961249205175407,1.318759560585022
EB Section 5.1 main suite,42,shared_skip_adj2_skip1_9000,shared_skip,seen_t4,9000,adjacent_total_2_3_skip_total_1_3,0-1;1-3;3-4;0-3;1-4;0-4,"0.222222,0.222222,0.222222,0.111111,0.111111,0.111111",0.008890498779444422,0.24014120112096077,0.7678577899932861
EB Section 5.1 main suite,43,pairwise_local_bridges_6000,pairwise,hidden_t2,6000,local_pairwise,0-1;1-3;3-4,,0.08528493803781867,0.40462779685940037,1.1200016736984253
EB Section 5.1 main suite,43,pairwise_local_bridges_6000,pairwise,seen_t4,6000,local_pairwise,0-1;1-3;3-4,,0.008276965114555057,0.15700249131799396,0.616722583770752
EB Section 5.1 main suite,43,shared_adjacent_only_6000,shared_adjacent,hidden_t2,6000,uniform_adjacent,0-1;1-3;3-4,uniform,0.06053348145033033,0.3613243161647233,1.2131530046463013
EB Section 5.1 main suite,43,shared_adjacent_only_6000,shared_adjacent,seen_t4,6000,uniform_adjacent,0-1;1-3;3-4,uniform,0.010638688983116706,0.3082996293493153,0.9094598293304443
EB Section 5.1 main suite,43,shared_skip_uniform_6000,shared_skip,hidden_t2,6000,uniform_adjacent_skip,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.060601267861719155,0.3691499546419425,1.1770265102386475
EB Section 5.1 main suite,43,shared_skip_uniform_6000,shared_skip,seen_t4,6000,uniform_adjacent_skip,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.006670149270209813,0.18573648141054194,0.5875627398490906
EB Section 5.1 main suite,43,shared_skip_adj2_skip1_9000,shared_skip,hidden_t2,9000,adjacent_total_2_3_skip_total_1_3,0-1;1-3;3-4;0-3;1-4;0-4,"0.222222,0.222222,0.222222,0.111111,0.111111,0.111111",0.06062644098883152,0.37329037684188643,1.101599931716919
EB Section 5.1 main suite,43,shared_skip_adj2_skip1_9000,shared_skip,seen_t4,9000,adjacent_total_2_3_skip_total_1_3,0-1;1-3;3-4;0-3;1-4;0-4,"0.222222,0.222222,0.222222,0.111111,0.111111,0.111111",0.01182958652309063,0.23390231710660928,0.7848409414291382
EB Section 5.1 main suite,44,pairwise_local_bridges_6000,pairwise,hidden_t2,6000,local_pairwise,0-1;1-3;3-4,,0.0848779533581221,0.41801606083285375,1.1484763622283936
EB Section 5.1 main suite,44,pairwise_local_bridges_6000,pairwise,seen_t4,6000,local_pairwise,0-1;1-3;3-4,,0.005137557731764053,0.1443664613792045,0.45168402791023254
EB Section 5.1 main suite,44,shared_adjacent_only_6000,shared_adjacent,hidden_t2,6000,uniform_adjacent,0-1;1-3;3-4,uniform,0.04956653695386126,0.3297931735333759,1.046256184577942
EB Section 5.1 main suite,44,shared_adjacent_only_6000,shared_adjacent,seen_t4,6000,uniform_adjacent,0-1;1-3;3-4,uniform,0.023440392343316907,0.4677727314046018,1.2312572002410889
EB Section 5.1 main suite,44,shared_skip_uniform_6000,shared_skip,hidden_t2,6000,uniform_adjacent_skip,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.05482886378600921,0.37651991275971486,1.239694595336914
EB Section 5.1 main suite,44,shared_skip_uniform_6000,shared_skip,seen_t4,6000,uniform_adjacent_skip,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.01412457025383157,0.3225179725216751,0.9276420474052429
EB Section 5.1 main suite,44,shared_skip_adj2_skip1_9000,shared_skip,hidden_t2,9000,adjacent_total_2_3_skip_total_1_3,0-1;1-3;3-4;0-3;1-4;0-4,"0.222222,0.222222,0.222222,0.111111,0.111111,0.111111",0.078516465675742,0.3999986147482892,1.2428956031799316
EB Section 5.1 main suite,44,shared_skip_adj2_skip1_9000,shared_skip,seen_t4,9000,adjacent_total_2_3_skip_total_1_3,0-1;1-3;3-4;0-3;1-4;0-4,"0.222222,0.222222,0.222222,0.111111,0.111111,0.111111",0.005968405883929884,0.17095173165223226,0.4387994706630707
