experiment,seed,variant,variant_family,boundary,training_steps_total,sampling,velocity_jump_mean_l2
EB Section 5.1 main suite,42,pairwise_local_bridges_6000,pairwise,t1,6000,local_pairwise,8.053829193115234
EB Section 5.1 main suite,42,shared_adjacent_only_6000,shared_adjacent,t1,6000,uniform_adjacent,8.168667793273926
EB Section 5.1 main suite,42,shared_skip_uniform_6000,shared_skip,t1,6000,uniform_adjacent_skip,5.628531455993652
EB Section 5.1 main suite,42,shared_skip_adj2_skip1_9000,shared_skip,t1,9000,adjacent_total_2_3_skip_total_1_3,8.994892120361328
EB Section 5.1 main suite,42,pairwise_local_bridges_6000,pairwise,t3,6000,local_pairwise,8.590636253356934
EB Section 5.1 main suite,42,shared_adjacent_only_6000,shared_adjacent,t3,6000,uniform_adjacent,4.799016952514648
EB Section 5.1 main suite,42,shared_skip_uniform_6000,shared_skip,t3,6000,uniform_adjacent_skip,2.404036521911621
EB Section 5.1 main suite,42,shared_skip_adj2_skip1_9000,shared_skip,t3,9000,adjacent_total_2_3_skip_total_1_3,4.212292671203613
EB Section 5.1 main suite,43,pairwise_local_bridges_6000,pairwise,t1,6000,local_pairwise,8.04004955291748
EB Section 5.1 main suite,43,shared_adjacent_only_6000,shared_adjacent,t1,6000,uniform_adjacent,8.082138061523438
EB Section 5.1 main suite,43,shared_skip_uniform_6000,shared_skip,t1,6000,uniform_adjacent_skip,5.908587455749512
EB Section 5.1 main suite,43,shared_skip_adj2_skip1_9000,shared_skip,t1,9000,adjacent_total_2_3_skip_total_1_3,9.227290153503418
EB Section 5.1 main suite,43,pairwise_local_bridges_6000,pairwise,t3,6000,local_pairwise,8.613982200622559
EB Section 5.1 main suite,43,shared_adjacent_only_6000,shared_adjacent,t3,6000,uniform_adjacent,4.793933391571045
EB Section 5.1 main suite,43,shared_skip_uniform_6000,shared_skip,t3,6000,uniform_adjacent_skip,2.3423643112182617
EB Section 5.1 main suite,43,shared_skip_adj2_skip1_9000,shared_skip,t3,9000,adjacent_total_2_3_skip_total_1_3,4.6381354331970215
EB Section 5.1 main suite,44,pairwise_local_bridges_6000,pairwise,t1,6000,local_pairwise,8.004575729370117
EB Section 5.1 main suite,44,shared_adjacent_only_6000,shared_adjacent,t1,6000,uniform_adjacent,8.155418395996094
EB Section 5.1 main suite,44,shared_skip_uniform_6000,shared_skip,t1,6000,uniform_adjacent_skip,5.8353071212768555
EB Section 5.1 main suite,44,shared_skip_adj2_skip1_9000,shared_skip,t1,9000,adjacent_total_2_3_skip_total_1_3,9.145675659179688
EB Section 5.1 main suite,44,pairwise_local_bridges_6000,pairwise,t3,6000,local_pairwise,8.767095565795898
EB Section 5.1 main suite,44,shared_adjacent_only_6000,shared_adjacent,t3,6000,uniform_adjacent,4.824385643005371
EB Section 5.1 main suite,44,shared_skip_uniform_6000,shared_skip,t3,6000,uniform_adjacent_skip,2.0462043285369873
EB Section 5.1 main suite,44,shared_skip_adj2_skip1_9000,shared_skip,t3,9000,adjacent_total_2_3_skip_total_1_3,4.503259658813477
