experiment,seed,variant,variant_family,target,training_steps_total,sampling,pairs,pair_weights,mmd_rbf,sliced_w2,centroid_l2
EB skip-pair ablation,42,shared_adjacent_only_6000,adjacent_only,hidden_t2,6000,uniform,0-1;1-3;3-4,uniform,0.0446397940470741,0.3158833397250962,0.9387373328208924
EB skip-pair ablation,42,shared_adjacent_only_6000,adjacent_only,seen_t4,6000,uniform,0-1;1-3;3-4,uniform,0.0183976365468252,0.2619981958849148,0.9584829807281494
EB skip-pair ablation,42,shared_adjacent_only_9000,adjacent_only,hidden_t2,9000,uniform,0-1;1-3;3-4,uniform,0.0654835841666163,0.382778345422857,1.156449317932129
EB skip-pair ablation,42,shared_adjacent_only_9000,adjacent_only,seen_t4,9000,uniform,0-1;1-3;3-4,uniform,0.0128965968988664,0.3968355102532375,1.0874719619750977
EB skip-pair ablation,42,shared_adjacent_only_12000,adjacent_only,hidden_t2,12000,uniform,0-1;1-3;3-4,uniform,0.0570749521356969,0.3708467688024492,1.0808459520339966
EB skip-pair ablation,42,shared_adjacent_only_12000,adjacent_only,seen_t4,12000,uniform,0-1;1-3;3-4,uniform,0.0240757782609262,0.4978042781552007,1.233789324760437
EB skip-pair ablation,42,shared_skip_uniform_6000,skip,hidden_t2,6000,uniform,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.0590927579088869,0.3580650038808652,1.0797135829925537
EB skip-pair ablation,42,shared_skip_uniform_6000,skip,seen_t4,6000,uniform,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.0072363060621998,0.181499432339888,0.635846734046936
EB skip-pair ablation,42,shared_skip_uniform_12000,skip,hidden_t2,12000,uniform,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.0718397793815831,0.392995395140471,1.1637741327285769
EB skip-pair ablation,42,shared_skip_uniform_12000,skip,seen_t4,12000,uniform,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.005485314801802,0.1858163913847506,0.5799597501754761
EB skip-pair ablation,42,shared_skip_adj2_skip1_9000,skip,hidden_t2,9000,adjacent_total_2_3_skip_total_1_3,0-1;1-3;3-4;0-3;1-4;0-4,"0.222222,0.222222,0.222222,0.111111,0.111111,0.111111",0.0735426415689156,0.3946973728319871,1.18708074092865
EB skip-pair ablation,42,shared_skip_adj2_skip1_9000,skip,seen_t4,9000,adjacent_total_2_3_skip_total_1_3,0-1;1-3;3-4;0-3;1-4;0-4,"0.222222,0.222222,0.222222,0.111111,0.111111,0.111111",0.0057955934311259,0.1511030492926688,0.4660924077033996
EB skip-pair ablation,42,shared_skip_adj3_skip1_8000,skip,hidden_t2,8000,adjacent_total_3_4_skip_total_1_4,0-1;1-3;3-4;0-3;1-4;0-4,"0.25,0.25,0.25,0.0833333,0.0833333,0.0833333",0.059417427744377,0.3692343642555516,1.0998917818069458
EB skip-pair ablation,42,shared_skip_adj3_skip1_8000,skip,seen_t4,8000,adjacent_total_3_4_skip_total_1_4,0-1;1-3;3-4;0-3;1-4;0-4,"0.25,0.25,0.25,0.0833333,0.0833333,0.0833333",0.0073796272299352,0.1990103710802139,0.6693474054336548
EB skip-pair ablation,42,shared_skip_medium_only_9000,skip,hidden_t2,9000,adjacent_total_2_3_medium_skip_total_1_3,0-1;1-3;3-4;0-3;1-4,"0.222222,0.222222,0.222222,0.166667,0.166667",0.0684825286295346,0.3859407447597869,1.1587775945663452
EB skip-pair ablation,42,shared_skip_medium_only_9000,skip,seen_t4,9000,adjacent_total_2_3_medium_skip_total_1_3,0-1;1-3;3-4;0-3;1-4,"0.222222,0.222222,0.222222,0.166667,0.166667",0.0107293280108363,0.1924242058268155,0.7029762864112854
EB skip-pair ablation,43,shared_adjacent_only_6000,adjacent_only,hidden_t2,6000,uniform,0-1;1-3;3-4,uniform,0.0515099529315954,0.3483282024999932,1.1079851388931274
EB skip-pair ablation,43,shared_adjacent_only_6000,adjacent_only,seen_t4,6000,uniform,0-1;1-3;3-4,uniform,0.0069265942595322,0.2806162366524698,0.5984448194503784
EB skip-pair ablation,43,shared_adjacent_only_9000,adjacent_only,hidden_t2,9000,uniform,0-1;1-3;3-4,uniform,0.0658198259227874,0.4060475537335616,1.2078841924667358
EB skip-pair ablation,43,shared_adjacent_only_9000,adjacent_only,seen_t4,9000,uniform,0-1;1-3;3-4,uniform,0.013692279106848,0.4799554107299276,1.0361886024475098
EB skip-pair ablation,43,shared_adjacent_only_12000,adjacent_only,hidden_t2,12000,uniform,0-1;1-3;3-4,uniform,0.0568988273416999,0.3535165588938689,1.0922718048095703
EB skip-pair ablation,43,shared_adjacent_only_12000,adjacent_only,seen_t4,12000,uniform,0-1;1-3;3-4,uniform,0.0161828124239128,0.4514763807638915,1.081001043319702
EB skip-pair ablation,43,shared_skip_uniform_6000,skip,hidden_t2,6000,uniform,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.062502359934807,0.3640500278407376,1.174303650856018
EB skip-pair ablation,43,shared_skip_uniform_6000,skip,seen_t4,6000,uniform,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.0074981100130911,0.2540390681254861,0.6120813488960266
EB skip-pair ablation,43,shared_skip_uniform_12000,skip,hidden_t2,12000,uniform,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.071775755646121,0.395138409157457,1.1663137674331665
EB skip-pair ablation,43,shared_skip_uniform_12000,skip,seen_t4,12000,uniform,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.0093331812583837,0.2290868473242616,0.7604697346687317
EB skip-pair ablation,43,shared_skip_adj2_skip1_9000,skip,hidden_t2,9000,adjacent_total_2_3_skip_total_1_3,0-1;1-3;3-4;0-3;1-4;0-4,"0.222222,0.222222,0.222222,0.111111,0.111111,0.111111",0.0790553915703272,0.4261689810843119,1.3144258260726929
EB skip-pair ablation,43,shared_skip_adj2_skip1_9000,skip,seen_t4,9000,adjacent_total_2_3_skip_total_1_3,0-1;1-3;3-4;0-3;1-4;0-4,"0.222222,0.222222,0.222222,0.111111,0.111111,0.111111",0.006501961988048,0.1813246239031341,0.5772078633308411
EB skip-pair ablation,43,shared_skip_adj3_skip1_8000,skip,hidden_t2,8000,adjacent_total_3_4_skip_total_1_4,0-1;1-3;3-4;0-3;1-4;0-4,"0.25,0.25,0.25,0.0833333,0.0833333,0.0833333",0.0679416123536976,0.3810243217182452,1.10968816280365
EB skip-pair ablation,43,shared_skip_adj3_skip1_8000,skip,seen_t4,8000,adjacent_total_3_4_skip_total_1_4,0-1;1-3;3-4;0-3;1-4;0-4,"0.25,0.25,0.25,0.0833333,0.0833333,0.0833333",0.006161503477302,0.1681155909193126,0.4856409132480621
EB skip-pair ablation,43,shared_skip_medium_only_9000,skip,hidden_t2,9000,adjacent_total_2_3_medium_skip_total_1_3,0-1;1-3;3-4;0-3;1-4,"0.222222,0.222222,0.222222,0.166667,0.166667",0.0650691552027078,0.3887266078609889,1.2484612464904783
EB skip-pair ablation,43,shared_skip_medium_only_9000,skip,seen_t4,9000,adjacent_total_2_3_medium_skip_total_1_3,0-1;1-3;3-4;0-3;1-4,"0.222222,0.222222,0.222222,0.166667,0.166667",0.010179882864655,0.2331530822691074,0.7727657556533813
EB skip-pair ablation,44,shared_adjacent_only_6000,adjacent_only,hidden_t2,6000,uniform,0-1;1-3;3-4,uniform,0.0504767244895771,0.3208321356034938,1.0370293855667114
EB skip-pair ablation,44,shared_adjacent_only_6000,adjacent_only,seen_t4,6000,uniform,0-1;1-3;3-4,uniform,0.0108055209572521,0.2739690921236394,0.8508555293083191
EB skip-pair ablation,44,shared_adjacent_only_9000,adjacent_only,hidden_t2,9000,uniform,0-1;1-3;3-4,uniform,0.057695855960145,0.3679068857827838,1.0695022344589231
EB skip-pair ablation,44,shared_adjacent_only_9000,adjacent_only,seen_t4,9000,uniform,0-1;1-3;3-4,uniform,0.013380100799907,0.6855178436038402,1.2408664226531982
EB skip-pair ablation,44,shared_adjacent_only_12000,adjacent_only,hidden_t2,12000,uniform,0-1;1-3;3-4,uniform,0.0598711156389458,0.3625903541808769,0.9770150184631348
EB skip-pair ablation,44,shared_adjacent_only_12000,adjacent_only,seen_t4,12000,uniform,0-1;1-3;3-4,uniform,0.0159539885878007,0.3447245924562724,0.9711737036705016
EB skip-pair ablation,44,shared_skip_uniform_6000,skip,hidden_t2,6000,uniform,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.0619797372998655,0.3597651799524297,1.18964421749115
