experiment,seed,variant,variant_family,boundary,training_steps_total,sampling,velocity_jump_mean_l2
EB skip-pair ablation,42,shared_adjacent_only_6000,adjacent_only,t1,6000,uniform,7.968894481658935
EB skip-pair ablation,42,shared_adjacent_only_6000,adjacent_only,t3,6000,uniform,5.929831981658936
EB skip-pair ablation,42,shared_adjacent_only_9000,adjacent_only,t1,9000,uniform,9.66170883178711
EB skip-pair ablation,42,shared_adjacent_only_9000,adjacent_only,t3,9000,uniform,6.618371486663818
EB skip-pair ablation,42,shared_adjacent_only_12000,adjacent_only,t1,12000,uniform,13.959906578063965
EB skip-pair ablation,42,shared_adjacent_only_12000,adjacent_only,t3,12000,uniform,9.079687118530272
EB skip-pair ablation,42,shared_skip_uniform_6000,skip,t1,6000,uniform,5.831440448760986
EB skip-pair ablation,42,shared_skip_uniform_6000,skip,t3,6000,uniform,2.080883264541626
EB skip-pair ablation,42,shared_skip_uniform_12000,skip,t1,12000,uniform,8.572406768798828
EB skip-pair ablation,42,shared_skip_uniform_12000,skip,t3,12000,uniform,4.197951793670654
EB skip-pair ablation,42,shared_skip_adj2_skip1_9000,skip,t1,9000,adjacent_total_2_3_skip_total_1_3,8.850123405456543
EB skip-pair ablation,42,shared_skip_adj2_skip1_9000,skip,t3,9000,adjacent_total_2_3_skip_total_1_3,4.551985263824463
EB skip-pair ablation,42,shared_skip_adj3_skip1_8000,skip,t1,8000,adjacent_total_3_4_skip_total_1_4,8.264241218566895
EB skip-pair ablation,42,shared_skip_adj3_skip1_8000,skip,t3,8000,adjacent_total_3_4_skip_total_1_4,4.229421615600586
EB skip-pair ablation,42,shared_skip_medium_only_9000,skip,t1,9000,adjacent_total_2_3_medium_skip_total_1_3,8.862281799316406
EB skip-pair ablation,42,shared_skip_medium_only_9000,skip,t3,9000,adjacent_total_2_3_medium_skip_total_1_3,4.854036331176758
EB skip-pair ablation,43,shared_adjacent_only_6000,adjacent_only,t1,6000,uniform,8.48533821105957
EB skip-pair ablation,43,shared_adjacent_only_6000,adjacent_only,t3,6000,uniform,6.384974002838135
EB skip-pair ablation,43,shared_adjacent_only_9000,adjacent_only,t1,9000,uniform,9.693124771118164
EB skip-pair ablation,43,shared_adjacent_only_9000,adjacent_only,t3,9000,uniform,6.7078776359558105
EB skip-pair ablation,43,shared_adjacent_only_12000,adjacent_only,t1,12000,uniform,14.147367477416992
EB skip-pair ablation,43,shared_adjacent_only_12000,adjacent_only,t3,12000,uniform,9.939671516418455
EB skip-pair ablation,43,shared_skip_uniform_6000,skip,t1,6000,uniform,5.823517799377441
EB skip-pair ablation,43,shared_skip_uniform_6000,skip,t3,6000,uniform,1.9284701347351076
EB skip-pair ablation,43,shared_skip_uniform_12000,skip,t1,12000,uniform,8.092991828918457
EB skip-pair ablation,43,shared_skip_uniform_12000,skip,t3,12000,uniform,4.773123741149902
EB skip-pair ablation,43,shared_skip_adj2_skip1_9000,skip,t1,9000,adjacent_total_2_3_skip_total_1_3,9.410712242126465
EB skip-pair ablation,43,shared_skip_adj2_skip1_9000,skip,t3,9000,adjacent_total_2_3_skip_total_1_3,4.887481689453125
EB skip-pair ablation,43,shared_skip_adj3_skip1_8000,skip,t1,8000,adjacent_total_3_4_skip_total_1_4,8.321941375732422
EB skip-pair ablation,43,shared_skip_adj3_skip1_8000,skip,t3,8000,adjacent_total_3_4_skip_total_1_4,5.034079551696777
EB skip-pair ablation,43,shared_skip_medium_only_9000,skip,t1,9000,adjacent_total_2_3_medium_skip_total_1_3,8.155994415283203
EB skip-pair ablation,43,shared_skip_medium_only_9000,skip,t3,9000,adjacent_total_2_3_medium_skip_total_1_3,4.633584976196289
EB skip-pair ablation,44,shared_adjacent_only_6000,adjacent_only,t1,6000,uniform,8.545858383178711
EB skip-pair ablation,44,shared_adjacent_only_6000,adjacent_only,t3,6000,uniform,6.133643627166748
EB skip-pair ablation,44,shared_adjacent_only_9000,adjacent_only,t1,9000,uniform,10.953096389770508
EB skip-pair ablation,44,shared_adjacent_only_9000,adjacent_only,t3,9000,uniform,6.75937557220459
EB skip-pair ablation,44,shared_adjacent_only_12000,adjacent_only,t1,12000,uniform,12.857321739196776
EB skip-pair ablation,44,shared_adjacent_only_12000,adjacent_only,t3,12000,uniform,8.241362571716309
EB skip-pair ablation,44,shared_skip_uniform_6000,skip,t1,6000,uniform,5.675827503204346
EB skip-pair ablation,44,shared_skip_uniform_6000,skip,t3,6000,uniform,2.0541608333587646
EB skip-pair ablation,44,shared_skip_uniform_12000,skip,t1,12000,uniform,8.82589340209961
EB skip-pair ablation,44,shared_skip_uniform_12000,skip,t3,12000,uniform,4.409787178039551
EB skip-pair ablation,44,shared_skip_adj2_skip1_9000,skip,t1,9000,adjacent_total_2_3_skip_total_1_3,8.065765380859375
EB skip-pair ablation,44,shared_skip_adj2_skip1_9000,skip,t3,9000,adjacent_total_2_3_skip_total_1_3,4.82246208190918
EB skip-pair ablation,44,shared_skip_adj3_skip1_8000,skip,t1,8000,adjacent_total_3_4_skip_total_1_4,7.633699893951416
EB skip-pair ablation,44,shared_skip_adj3_skip1_8000,skip,t3,8000,adjacent_total_3_4_skip_total_1_4,4.585830211639404
EB skip-pair ablation,44,shared_skip_medium_only_9000,skip,t1,9000,adjacent_total_2_3_medium_skip_total_1_3,8.179695129394531
EB skip-pair ablation,44,shared_skip_medium_only_9000,skip,t3,9000,adjacent_total_2_3_medium_skip_total_1_3,4.858680248260498
