experiment,seed,variant,variant_family,target,training_steps_total,sampling,pairs,pair_weights,mmd_rbf,sliced_w2,centroid_l2
EB skip-pair ablation,44,shared_adjacent_only_6000,adjacent_only,hidden_t2,6000,uniform,0-1;1-3;3-4,uniform,0.050476724489577185,0.3208321356034938,1.0370293855667114
EB skip-pair ablation,44,shared_adjacent_only_6000,adjacent_only,seen_t4,6000,uniform,0-1;1-3;3-4,uniform,0.010805520957252124,0.2739690921236394,0.8508555293083191
EB skip-pair ablation,44,shared_adjacent_only_9000,adjacent_only,hidden_t2,9000,uniform,0-1;1-3;3-4,uniform,0.05769585596014504,0.3679068857827838,1.0695022344589233
EB skip-pair ablation,44,shared_adjacent_only_9000,adjacent_only,seen_t4,9000,uniform,0-1;1-3;3-4,uniform,0.013380100799907035,0.6855178436038402,1.2408664226531982
EB skip-pair ablation,44,shared_adjacent_only_12000,adjacent_only,hidden_t2,12000,uniform,0-1;1-3;3-4,uniform,0.05987111563894587,0.36259035418087693,0.9770150184631348
EB skip-pair ablation,44,shared_adjacent_only_12000,adjacent_only,seen_t4,12000,uniform,0-1;1-3;3-4,uniform,0.015953988587800783,0.3447245924562724,0.9711737036705017
EB skip-pair ablation,44,shared_skip_uniform_6000,skip,hidden_t2,6000,uniform,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.0619797372998655,0.3597651799524297,1.18964421749115
EB skip-pair ablation,44,shared_skip_uniform_6000,skip,seen_t4,6000,uniform,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.005472395252232365,0.14762000887106963,0.45111456513404846
EB skip-pair ablation,44,shared_skip_uniform_12000,skip,hidden_t2,12000,uniform,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.07558919482038773,0.4080648930824244,1.2782106399536133
EB skip-pair ablation,44,shared_skip_uniform_12000,skip,seen_t4,12000,uniform,0-1;1-3;3-4;0-3;1-4;0-4,uniform,0.016460708141572022,0.3517952445674054,1.1250231266021729
EB skip-pair ablation,44,shared_skip_adj2_skip1_9000,skip,hidden_t2,9000,adjacent_total_2_3_skip_total_1_3,0-1;1-3;3-4;0-3;1-4;0-4,"0.222222,0.222222,0.222222,0.111111,0.111111,0.111111",0.06585611391980539,0.38616772797648485,1.1867023706436157
EB skip-pair ablation,44,shared_skip_adj2_skip1_9000,skip,seen_t4,9000,adjacent_total_2_3_skip_total_1_3,0-1;1-3;3-4;0-3;1-4;0-4,"0.222222,0.222222,0.222222,0.111111,0.111111,0.111111",0.004740962508160362,0.16964592928104627,0.510753870010376
EB skip-pair ablation,44,shared_skip_adj3_skip1_8000,skip,hidden_t2,8000,adjacent_total_3_4_skip_total_1_4,0-1;1-3;3-4;0-3;1-4;0-4,"0.25,0.25,0.25,0.0833333,0.0833333,0.0833333",0.07872337758315684,0.42433504835130587,1.3241546154022217
EB skip-pair ablation,44,shared_skip_adj3_skip1_8000,skip,seen_t4,8000,adjacent_total_3_4_skip_total_1_4,0-1;1-3;3-4;0-3;1-4;0-4,"0.25,0.25,0.25,0.0833333,0.0833333,0.0833333",0.007674514422218781,0.16871162212271512,0.4831593632698059
EB skip-pair ablation,44,shared_skip_medium_only_9000,skip,hidden_t2,9000,adjacent_total_2_3_medium_skip_total_1_3,0-1;1-3;3-4;0-3;1-4,"0.222222,0.222222,0.222222,0.166667,0.166667",0.07577843912056026,0.4234738902626734,1.2411158084869385
EB skip-pair ablation,44,shared_skip_medium_only_9000,skip,seen_t4,9000,adjacent_total_2_3_medium_skip_total_1_3,0-1;1-3;3-4;0-3;1-4,"0.222222,0.222222,0.222222,0.166667,0.166667",0.009011023571506738,0.1809092818996388,0.6474299430847168
